"","CPU_LOAD_LONG","NR_CPU","HOST_NAME","OS_FULL_VERSION","DB_NAME","QTD_CONEXAO","BUILD_BANCO_DB2","PROD_RELEASE","PROD_FIXPACK_NUM","QTD_ERROS_ATUALIZACAO","ULTIMO_RUNSTATS","QTD_OBJETOS_INVALIDOS","PACOTES_INVALIDOS","LOGARCHMETH1","TSM_OWNER","BUILD_INST_DB2","BUFFERPOLLS_AUTO","MEMORIA_BD","DTARCHIVETSM","DATA_ULTIMO_BACKUP","DFT_QUERYOPT","LOGFILSIZ","LOGPRIMARY","LOGSECOND","MAX_LOG","DB_MEM_THRESH","DFT_DEGREE","CATALOGCACHE_SZ","BP_HITRATIO_ROW_COUNT","TAMANHO_DO_BANCO_GB","TABELAS_AUDLOG","TRIGGERS_AUDLOG","MONITOR_DE_EVENTOS","INST_NAME","ASLHEAPSZ","DB2_SKIPDELETED","Target"
"54",0.0215002388915432,0,0.75,1,0.266666666666667,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0,0,0,0.5,1,0,0,0.0325379609544469,1,0,1,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0396989857127277,0,0,1,0.25,0,1,"0"
"55",0.0215002388915432,0,0.75,1,0.8,0.00101755278555075,0.75,0.882352941176471,1,0,0.0714285714285714,1,1,0.5,1,0,0,0.13882863340564,1,0.0714285714285714,0,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0650016359472134,0.166666666666667,0.5,1,0.75,0,1,"0"
"56",0.0324892498805542,0,0.75,1,0.2,0,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.0985435388906105,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"0"
"57",0.040133779264214,0,0.75,1,0.133333333333333,0.000254388196387688,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.103501704369383,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"58",0.0745341614906832,1,1,1,0.466666666666667,0.004070211142203,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.13975828943291,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"59",0.0133779264214047,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.695692593740316,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
"60",0.0515180096869993,0,0.5,0.5,0.666666666666667,0.000508776392775375,0.75,0.941176470588235,1,0,0.857142857142857,0,0,0.5,1,0,0,0.593430430740626,1,0.642857142857143,1,0.333333333333333,1,0.83402489626556,0,1,1,0.0151664368721686,0.25,0.138510197404297,0,0,1,0,1,0,"0"
"61",0.031055900621118,0,1,1,0.4,0.000254388196387688,0.85,0.882352941176471,1,0,0.785714285714286,0,0.961538461538462,0.5,1,0,0,0.0610474124573908,1,0.571428571428571,1,0.2128,1,0.62655601659751,1,1,0,1,0.25,0.218126295124877,0.0833333333333333,0.375,1,0.333333333333333,0,0,"0"
"62",0.0229335881509795,0,0.75,1,0.866666666666667,0.000763164589163063,0.8,0.882352941176471,1,0,0.214285714285714,0,0.0384615384615385,0.5,0.5,0,0.5,0.24573907654168,0,0.214285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.926818627985604,0.0833333333333333,0.25,1,0.833333333333333,0,0,"0"
"63",0.0277114190157668,0,1,1,0.733333333333333,0.000254388196387688,1,0.882352941176471,1,0,0.285714285714286,0,0.0384615384615385,0.5,1,0,0,0.013325069724202,1,0.5,1,0.2128,0,1,0.777777777777778,0,1,0.113649793184952,0,0.0894317810011997,0,0,1,0.666666666666667,0,0,"0"
"64",0.0664118490205447,1,1,1,0.6,0.000508776392775375,0.9,1,0.791666666666667,0,0.714285714285714,0,0,0.5,1,0.5,0,0.10691044313604,1,0.428571428571429,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.319009706620133,0.583333333333333,0.75,0,0.583333333333333,0,0,"0"
"65",0.095078834209269,0,0,0,0,0.717374713813279,0.5,0.705882352941177,0.06875,0.0555247504788789,1,0.0695130557515879,0.204399869713913,1,1,1,0.172547635850388,0.346163359218345,1,1,0.911609033168666,0.251452928722653,0.475432251235004,0.735574543846652,0.82678585430879,0.825374421704697,0.505645730416373,0.483490380810188,0.271259703599153,0.323159147608004,0.122133027522936,0.243428016937191,0.84438955539873,1,0.164255469301341,1,"1"
"66",0.0363115145723841,0,0.75,1,0.266666666666667,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0,0,0,0.5,1,0,0,0.0235512860241711,1,0,1,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0396989857127277,0,0,1,0.25,0,1,"0"
"67",0.0363115145723841,0,0.75,1,0.8,0.00101755278555075,0.75,0.882352941176471,1,0,0.0714285714285714,1,1,0.5,1,0,0,0.137279206693523,1,0.0714285714285714,0,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0650016359472134,0.166666666666667,0.5,1,0.75,0,1,"0"
"68",0.0463449593884376,0,0.75,1,0.2,0.000254388196387688,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.101022621629997,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"0"
"69",0.0673674151935021,0,0.75,1,0.133333333333333,0.000508776392775375,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.10412147505423,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"70",0.0831342570473005,1,1,1,0.466666666666667,0.00330704655303994,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.152153703129842,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"71",0.0148112756808409,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.693523396343353,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
"72",0.0515180096869993,0,0.5,0.5,0.666666666666667,0.000508776392775375,0.75,0.941176470588235,1,0,0.857142857142857,0,0,0.5,1,0,0,0.568639603346762,1,0.642857142857143,1,0.333333333333333,1,0.83402489626556,0,1,1,0.0151664368721686,0.25,0.138510197404297,0,0,1,0,1,0,"0"
"73",0.0296225513616818,0,1,1,0.4,0.000254388196387688,0.85,0.882352941176471,1,0,0.785714285714286,0,0.961538461538462,0.5,1,0,0,0.0604276417725442,1,0.571428571428571,1,0.2128,1,0.62655601659751,1,1,0,1,0.25,0.218126295124877,0.0833333333333333,0.375,1,0.333333333333333,0,0,"0"
"74",0.0396559961777353,0,0.75,1,0.866666666666667,0.00101755278555075,0.8,0.882352941176471,1,0,0.214285714285714,0,0.0384615384615385,0.5,0.5,0,0.5,0.24573907654168,0,0.214285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.926818627985604,0.0833333333333333,0.25,1,0.833333333333333,0,0,"0"
"75",0.0258002866698519,0,1,1,0.733333333333333,0.000508776392775375,1,0.882352941176471,1,0,0.285714285714286,0,0.0384615384615385,0.5,1,0,0,0.0139448404090487,1,0.5,1,0.2128,0,1,0.777777777777778,0,1,0.113649793184952,0,0.0894317810011997,0,0,1,0.666666666666667,0,0,"0"
"76",0.0864787386526517,1,1,1,0.6,0.000763164589163063,0.9,1,0.791666666666667,0,0.714285714285714,0,0,0.5,1,0.5,0,0.114657576696622,1,0.428571428571429,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.319009706620133,0.583333333333333,0.75,0,0.583333333333333,0,0,"0"
"77",0.095078834209269,0,0,0,0,0.709488679725261,0.65,0.647058823529412,0.1,0.0555247504788789,1,0.0695130557515879,0.204399869713913,1,1,1,0.172547635850388,0.346163359218345,1,1,0.911609033168666,0.251452928722653,0.475432251235004,0.735574543846652,0.82678585430879,0.825374421704697,0.505645730416373,0.483490380810188,0.271259703599153,0.323159147608004,0.122133027522936,0.243428016937191,0.84438955539873,1,0.164255469301341,1,"1"
"78",0.0444338270425227,0,0.75,1,0.266666666666667,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0,0,0,0.5,1,0,0,0.0170436938332817,1,0,1,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0396989857127277,0,0,1,0.25,0,1,"0"
"79",0.0444338270425227,0,0.75,1,0.8,0.00152632917832613,0.75,0.882352941176471,1,0,0.0714285714285714,1,1,0.5,1,0,0,0.139448404090487,1,0.0714285714285714,0,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0650016359472134,0.166666666666667,0.5,1,0.75,0,1,"0"
"80",0.0582895365504061,0,0.75,1,0.2,0.000508776392775375,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.101952277657267,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"0"
"81",0.0697563306258958,0,0.75,1,0.133333333333333,0.000763164589163063,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.10784009916331,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"82",0.0993788819875776,1,1,1,0.466666666666667,0.00305265835665225,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.142857142857143,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"83",0.00907787864309603,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.693523396343353,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
"84",0.0515180096869993,0,0.5,0.5,0.666666666666667,0.000508776392775375,0.75,0.941176470588235,1,0,0.857142857142857,0,0,0.5,1,0,0,0.453362255965293,1,0.642857142857143,1,0.333333333333333,1,0.83402489626556,0,1,1,0.0151664368721686,0.25,0.138510197404297,0,0,1,0,1,0,"0"
"85",0.032967032967033,0,1,1,0.4,0.000254388196387688,0.85,0.882352941176471,1,0,0.785714285714286,0,0.961538461538462,0.5,1,0,0,0.0604276417725442,1,0.571428571428571,1,0.2128,1,0.62655601659751,1,1,0,1,0.25,0.218126295124877,0.0833333333333333,0.375,1,0.333333333333333,0,0,"1"
"86",0.042044911610129,0,0.75,1,0.866666666666667,0.000763164589163063,0.8,0.882352941176471,1,0,0.214285714285714,0,0.0384615384615385,0.5,0.5,0,0.5,0.24573907654168,0,0.214285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.926818627985604,0.0833333333333333,0.25,1,0.833333333333333,0,0,"0"
"87",0.0296225513616818,0,1,1,0.733333333333333,0.000254388196387688,1,0.882352941176471,1,0,0.285714285714286,0,0.0384615384615385,0.5,1,0,0,0.013325069724202,1,0.5,1,0.2128,0,1,0.777777777777778,0,1,0.113649793184952,0,0.0894317810011997,0,0,1,0.666666666666667,0,0,"0"
"88",0.0831342570473005,1,1,1,0.6,0.000508776392775375,0.9,1,0.791666666666667,0,0.714285714285714,0,0,0.5,1,0.5,0,0.115277347381469,1,0.428571428571429,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.319009706620133,0.583333333333333,0.75,0,0.583333333333333,0,0,"0"
"89",0.095078834209269,0,0,0,0,0.709997456118036,0.4,0.529411764705882,0.104166666666667,0.0555247504788789,1,0.0695130557515879,0.204399869713913,1,1,1,0.172547635850388,0.346163359218345,1,1,0.911609033168666,0.251452928722653,0.475432251235004,0.735574543846652,0.82678585430879,0.825374421704697,0.505645730416373,0.483490380810188,0.271259703599153,0.323159147608004,0.122133027522936,0.243428016937191,0.84438955539873,1,0.164255469301341,1,"1"
"90",0.0363115145723841,0,0.75,1,0.266666666666667,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0,0,0,0.5,1,0,0,0.0260303687635575,1,0,1,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0396989857127277,0,0,1,0.25,0,1,"0"
"91",0.0396559961777353,0,0.75,1,0.8,0.00101755278555075,0.75,0.882352941176471,1,0,0.0714285714285714,1,1,0.5,1,0,0,0.13789897737837,1,0.0714285714285714,0,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0650016359472134,0.166666666666667,0.5,1,0.75,0,1,"1"
"92",0.0444338270425227,0,0.75,1,0.2,0,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.0991633095754571,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"0"
"93",0.0473005255613951,0,0.75,1,0.133333333333333,0.000254388196387688,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.105361016423923,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"94",0.0797897754419494,1,1,1,0.466666666666667,0.00305265835665225,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.13511000929656,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"95",0.0191113234591495,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.695382708397893,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
"96",0.0515180096869993,0,0.5,0.5,0.666666666666667,0.000508776392775375,0.75,0.941176470588235,1,0,0.857142857142857,0,0,0.5,1,0,0,0.452432599938023,1,0.642857142857143,1,0.333333333333333,1,0.83402489626556,0,1,1,0.0151664368721686,0.25,0.138510197404297,0,0,1,0,1,0,"0"
"97",0.0272336359292881,0,1,1,0.4,0.000254388196387688,0.85,0.882352941176471,1,0,0.785714285714286,0,0.961538461538462,0.5,1,0,0,0.0610474124573908,1,0.571428571428571,1,0.2128,1,0.62655601659751,1,1,0,1,0.25,0.218126295124877,0.0833333333333333,0.375,1,0.333333333333333,0,0,"0"
"98",0.0272336359292881,0,0.75,1,0.866666666666667,0.000763164589163063,0.8,0.882352941176471,1,0,0.214285714285714,0,0.0384615384615385,0.5,0.5,0,0.5,0.24573907654168,0,0.214285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.926818627985604,0.0833333333333333,0.25,1,0.833333333333333,0,0,"0"
"99",0.0258002866698519,0,1,1,0.733333333333333,0.000254388196387688,1,0.882352941176471,1,0,0.285714285714286,0,0.0384615384615385,0.5,1,0,0,0.013325069724202,1,0.5,1,0.2128,0,1,0.777777777777778,0,1,0.113649793184952,0,0.0894317810011997,0,0,1,0.666666666666667,0,0,"0"
"100",0.095078834209269,0,0,0,0,0.703892139404732,0.25,0.764705882352941,0.0979166666666667,0.0555247504788789,1,0.0695130557515879,0.204399869713913,1,1,1,0.172547635850388,0.346163359218345,1,1,0.911609033168666,0.251452928722653,0.475432251235004,0.735574543846652,0.82678585430879,0.825374421704697,0.505645730416373,0.483490380810188,0.271259703599153,0.323159147608004,0.122133027522936,0.243428016937191,0.84438955539873,1,0.164255469301341,1,"1"
